#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
3.3976624083e+01	3.9682612446e+02	1.3496246260e+33
3.3942027018e+01	3.8596910004e+02	1.3126993668e+33
3.3908650097e+01	4.1411370110e+02	1.4084205009e+33
3.3874191254e+01	3.8951943365e+02	1.3247742211e+33
3.3840947547e+01	4.0200840382e+02	1.3672498059e+33
3.3806626099e+01	3.9501887923e+02	1.3434780986e+33
3.3773514810e+01	4.0907613734e+02	1.3912875056e+33
3.3739329937e+01	4.0281372600e+02	1.3699887452e+33
3.3705214197e+01	4.0028877760e+02	1.3614012749e+33
3.3672301165e+01	3.9887803616e+02	1.3566032758e+33
3.3638320775e+01	4.0425618252e+02	1.3748946088e+33
3.3604408898e+01	4.1791112364e+02	1.4213357165e+33
3.3571692349e+01	4.0878069907e+02	1.3902827059e+33
3.3537914612e+01	4.1546592720e+02	1.4130194865e+33
3.3504204778e+01	4.1957523913e+02	1.4269954529e+33
3.3470562640e+01	4.3512793032e+02	1.4798908994e+33
3.3436987996e+01	4.1018822328e+02	1.3950697631e+33
3.3403480643e+01	4.1711790149e+02	1.4186379301e+33
3.3370040378e+01	4.2770080824e+02	1.4546309020e+33
3.3336667000e+01	4.5482926741e+02	1.5468960890e+33
3.3303360309e+01	4.2658184930e+02	1.4508252691e+33
3.3270120105e+01	4.2246864296e+02	1.4368360577e+33
3.3236946189e+01	4.3443093570e+02	1.4775203873e+33
3.3203838364e+01	4.2999036326e+02	1.4624177881e+33
3.3170796431e+01	4.3174894530e+02	1.4683988098e+33
3.3137820194e+01	4.6158414451e+02	1.5698697490e+33
3.3104909458e+01	4.3905611786e+02	1.4932508530e+33
3.3072064028e+01	4.3620949582e+02	1.4835693554e+33
3.3038192150e+01	4.4556561832e+02	1.5153899754e+33
3.3005478909e+01	4.4446807659e+02	1.5116571835e+33
3.2972830388e+01	4.9488524320e+02	1.6831283781e+33
3.2939161369e+01	4.4807956044e+02	1.5239400128e+33
3.2906643851e+01	4.4514324720e+02	1.5139534710e+33
3.2874190473e+01	4.6010274771e+02	1.5648314476e+33
3.2840722496e+01	4.5168327021e+02	1.5361964020e+33
3.2808398950e+01	4.4524150062e+02	1.5142876356e+33
3.2775064731e+01	4.5895567019e+02	1.5609301821e+33
3.2742870240e+01	4.6040209142e+02	1.5658495299e+33
3.2709668978e+01	4.6263391365e+02	1.5734400641e+33
3.2677602771e+01	4.6264078023e+02	1.5734634176e+33
3.2644533673e+01	4.6400031260e+02	1.5780872522e+33
3.2612594984e+01	4.6033371612e+02	1.5656169822e+33
3.2579657262e+01	4.5831781687e+02	1.5587608125e+33
3.2546786005e+01	4.7958790934e+02	1.6311014142e+33
